Arvier comune,Arvier comune.1
(IT) Comune di Arvier (FR) Commune d'Arvier,(IT) Comune di Arvier (FR) Commune d'Arvier
,
Arvier – VedutaPanorama di Arvier dal Castello di Montmayeur,Arvier – VedutaPanorama di Arvier dal Castello di Montmayeur
Localizzazione,Localizzazione
Stato,Italia
Regione,Valle d'Aosta
Provincia,Non presente
Amministrazione,Amministrazione
Sindaco,Mauro Lucianaz (Union Valdôtaine) dal 24-5-2010
Lingue ufficiali,"Francese, italiano"
Territorio,Territorio
Coordinate,45°42′11″N 7°10′00″E
Altitudine,765 m s.l.m.
Superficie,"33,36 km²"
Abitanti,819[1] (30-11-2025)
Densità,"24,55 ab./km²"
Frazioni,"Tra parentesi i toponimi in patois arvelain: Baise-Pierre (Mezepira), Chamençon (Tsamèntson), Chamin (Tsamèn), Chez-les-Fournier (Tchu Fourgnì), Chez-les-Garin (Tchu Gaèn), Chez-les-Gex (Tchu le Dzé), Chez-les-Moget (Tchu Modzè), Chez-les-Sage (Tchu Sage), Chez-les-Thomasset (Tchu Tomasè), Chez-les-Roset (Tchu Rozè), Chez-les-Viction (Tchu Vitchón), La Crête (La Criha), Grand-Haury (Lo Gran Tû), Léverogne (Lévrogne), Mécosse (Mécosse), Petit-Haury (Lo Pitchoù Tû), Planaval (Plan-ó), La Ravoire (La Rouî), Rochefort (Rotsefô), Verney (Lo Vernài)[2]"
Comuni confinanti,"Avise, Introd, La Thuile, Rhêmes-Saint-Georges, Saint-Nicolas, Valgrisenche, Villeneuve"
Altre informazioni,Altre informazioni
Cod. postale,11011
Prefisso,0165
Fuso orario,UTC+1
Codice ISTAT,007005
Cod. catastale,A452
Targa,AO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 396 GG[4]"
Nome abitanti,(FR) Arvelains
Patrono,san Sulpizio
Giorno festivo,17 gennaio
Cartografia,Cartografia
Arvier,Arvier
Arvier – MappaPosizione del comune di Arvier all'interno della Valle d'Aosta,Arvier – MappaPosizione del comune di Arvier all'interno della Valle d'Aosta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
