Castell'Arquato comune,Castell'Arquato comune.1
,
Castell'Arquato – VedutaPanorama del borgo,Castell'Arquato – VedutaPanorama del borgo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Piacenza
Amministrazione,Amministrazione
Sindaco,Ivano Rocchetta (lista civica di centro-destra Arquatesincampo) dal 9-6-2024
Territorio,Territorio
Coordinate,44°51′N 9°52′E
Altitudine,224 m s.l.m.
Superficie,"52,75 km²"
Abitanti,4 700[1] (30-11-2025)
Densità,"89,1 ab./km²"
Frazioni,"Bacedasco Alto, Doppi, Pallastrelli, San Lorenzo, Sant'Antonio, Vigolo Marchese, Vigostano, Montagnano, Costa Stradivari[2]"
Comuni confinanti,"Alseno, Carpaneto Piacentino, Fiorenzuola d'Arda, Lugagnano Val d'Arda, Vernasca"
Altre informazioni,Altre informazioni
Cod. postale,29014
Prefisso,0523
Fuso orario,UTC+1
Codice ISTAT,033012
Cod. catastale,C145
Targa,PC
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 750 GG[4]"
Nome abitanti,arquatesi
Cartografia,Cartografia
Castell'Arquato,Castell'Arquato
Castell'Arquato – MappaPosizione del comune di Castell'Arquato nella provincia di Piacenza,Castell'Arquato – MappaPosizione del comune di Castell'Arquato nella provincia di Piacenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
