Isola Vicentina comune,Isola Vicentina comune.1
,
Isola Vicentina – VedutaPanorama,Isola Vicentina – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Francesco Enrico Gonzo (lista civica Gruppo Duemila14) dal 26-5-2014
Territorio,Territorio
Coordinate,45°38′N 11°27′E
Altitudine,55 m s.l.m.
Superficie,"26,48 km²"
Abitanti,10 272[1] (30-11-2025)
Densità,"387,92 ab./km²"
Frazioni,"Castelnovo, Ignago, Torreselle"
Comuni confinanti,"Caldogno, Castelgomberto, Costabissara, Malo, Sovizzo, Villaverla"
Altre informazioni,Altre informazioni
Cod. postale,36033
Prefisso,0444
Fuso orario,UTC+1
Codice ISTAT,024048
Cod. catastale,E354
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 479 GG[3]"
Nome abitanti,isolani
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Isola Vicentina,Isola Vicentina
Isola Vicentina – MappaPosizione del comune di Isola Vicentina all'interno della provincia di Vicenza,Isola Vicentina – MappaPosizione del comune di Isola Vicentina all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
