Monte di Malo comune,Monte di Malo comune.1
,
Monte di Malo – Veduta,Monte di Malo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Vicenza
Amministrazione,Amministrazione
Sindaco,Mosè Squarzon (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°40′N 11°22′E
Altitudine,374 m s.l.m.
Superficie,"23,75 km²"
Abitanti,2 846[1] (30-11-2025)
Densità,"119,83 ab./km²"
Frazioni,"Faedo, Priabona, Calcara, Campipiani"
Comuni confinanti,"Cornedo Vicentino, Malo, San Vito di Leguzzano, Schio, Valdagno"
Altre informazioni,Altre informazioni
Cod. postale,36030
Prefisso,0445
Fuso orario,UTC+1
Codice ISTAT,024063
Cod. catastale,F486
Targa,VI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 855 GG[3]"
Nome abitanti,montemaladensi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Monte di Malo,Monte di Malo
Monte di Malo – MappaPosizione del comune di Monte di Malo all'interno della provincia di Vicenza,Monte di Malo – MappaPosizione del comune di Monte di Malo all'interno della provincia di Vicenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
