Ardauli comune,Ardauli comune.1
(IT) Ardauli (SC) Ardaùle,(IT) Ardauli (SC) Ardaùle
,
Ardauli – Veduta,Ardauli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Costantina Fadda (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,40°05′05″N 8°54′46″E
Altitudine,421 m s.l.m.
Superficie,"20,53 km²"
Abitanti,742[1] (30-11-2025)
Densità,"36,14 ab./km²"
Comuni confinanti,"Abbasanta, Ghilarza, Neoneli, Nughedu Santa Vittoria, Sorradile, Tadasuni, Boroneddu, Ula Tirso"
Altre informazioni,Altre informazioni
Cod. postale,09081
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095007
Cod. catastale,A380
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 516 GG[3]"
Nome abitanti,(IT) ardaulesi (SC) ardaulesos
Patrono,Madonna Beata Vergine del Buoncammino
Giorno festivo,secondo lunedì di settembre
Cartografia,Cartografia
Ardauli,Ardauli
Ardauli – MappaPosizione del comune di Ardauli all'interno della provincia di Oristano,Ardauli – MappaPosizione del comune di Ardauli all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
