Scalenghe comune,Scalenghe comune.1
,
Scalenghe – VedutaVeduta ingresso paese,Scalenghe – VedutaVeduta ingresso paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Monica Pecchio (lista civica Oltre... per il comune) dal Giugno 2023
Territorio,Territorio
Coordinate,44°53′33.72″N 7°29′37″E
Altitudine,314 m s.l.m.
Superficie,"31,68 km²"
Abitanti,3 201[1] (30-11-2025)
Densità,"101,04 ab./km²"
Frazioni,"Bicocca, Murisenghi, Pieve, Viotto"
Comuni confinanti,"Airasca, Buriasco, Castagnole Piemonte, Cercenasco, None, Pinerolo, Piscina"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001260
Cod. catastale,I490
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 788 GG[3]"
Nome abitanti,scalenghesi
Patrono,Corpi santi
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Scalenghe,Scalenghe
Scalenghe – MappaLocalizzazione del comune di Scalenghe nella città metropolitana di Torino.,Scalenghe – MappaLocalizzazione del comune di Scalenghe nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
