Noasca comune,Noasca comune.1
,
Noasca – VedutaVeduta,Noasca – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Domenico Aimonino (lista civica Noasca siamo noi) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°27′14.3″N 7°18′52.39″E
Altitudine,1 065[1] m s.l.m.
Superficie,"78,05 km²"
Abitanti,98[2] (30-11-2025)
Densità,"1,26 ab./km²"
Frazioni,"Grusiner, Fè, Pra, Balmarossa, Borno, Gera, Gere Eredi, Jamoinin, Jerener, Pianchette, Pian, Piandellera"
Comuni confinanti,"Ceresole Reale, Chialamberto, Cogne (AO), Groscavallo, Locana, Valsavarenche (AO)"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001165
Cod. catastale,F906
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 904 GG[4]"
Nome abitanti,noaschini
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Noasca,Noasca
Noasca – MappaLocalizzazione del comune di Noasca nella città metropolitana di Torino.,Noasca – MappaLocalizzazione del comune di Noasca nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
