Chivasso comune,Chivasso comune.1
,
Chivasso – VedutaVeduta di piazza della Repubblica con la chiesa collegiata di Santa Maria Assunta,Chivasso – VedutaVeduta di piazza della Repubblica con la chiesa collegiata di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Claudio Castello (PD) dall'11-6-2017 (2º mandato dal 27-6-2022)
Territorio,Territorio
Coordinate,45°11′27.45″N 7°53′13.87″E
Altitudine,183 m s.l.m.
Superficie,"51,24 km²"
Abitanti,26 025[1] (30-11-2025)
Densità,"507,9 ab./km²"
Frazioni,"Betlemme, Borghetto, Boschetto, Castelrosso, Mandria, Montegiove, Mosche, Pogliani, Pratoregio, Torassi"
Comuni confinanti,"Brandizzo, Caluso, Castagneto Po, Mazzè, Montanaro, Rondissone, San Benigno Canavese, San Raffaele Cimena, San Sebastiano da Po, Verolengo, Volpiano"
Altre informazioni,Altre informazioni
Cod. postale,10034
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001082
Cod. catastale,C665
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,chivassesi
Patrono,beato Angelo Carletti
Giorno festivo,27 agosto
Motto,UNIO FORTIS
Cartografia,Cartografia
Chivasso,Chivasso
Chivasso – MappaLocalizzazione del comune di Chivasso nella città metropolitana di Torino.,Chivasso – MappaLocalizzazione del comune di Chivasso nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
