Fiano comune,Fiano comune.1
,
Fiano – VedutaChiesa parrocchiale,Fiano – VedutaChiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Città metropolitana di Torino
Amministrazione,Amministrazione
Sindaco,Luca Casale (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°13′00.74″N 7°31′21.67″E
Altitudine,429 m s.l.m.
Superficie,"12,19 km²"
Abitanti,2 641[1] (30-11-2025)
Densità,"216,65 ab./km²"
Frazioni,"Gerbidi, Grange, San Firmino"
Comuni confinanti,"Cafasse, Druento, La Cassa, Nole, Robassomero, Vallo Torinese, Varisella, Villanova Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001104
Cod. catastale,D562
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 997 GG[3]"
Nome abitanti,fianesi
Patrono,Madonna del S. Rosario
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Fiano,Fiano
Fiano – MappaLocalizzazione del comune di Fiano nella città metropolitana di Torino.,Fiano – MappaLocalizzazione del comune di Fiano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
