Castellamonte comune,Castellamonte comune.1
,
Castellamonte – VedutaPanorama,Castellamonte – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Pasquale Mazza (Diversamente Castellamonte) dall'11-6-2017
Territorio,Territorio
Coordinate,45°22′55.04″N 7°42′43.62″E
Altitudine,"343,17 (min 307 - max 2 009) m s.l.m."
Superficie,"38,71 km²"
Abitanti,9 845[1] (30-11-2025)
Densità,"254,33 ab./km²"
Frazioni,"Campo, Filia, Muriaglio, Preparetto, San Giovanni, Sant'Anna Boschi, Sant'Antonio, Spineto, San Rocco"
Comuni confinanti,"Bairo, Baldissero Canavese, Borgiallo, Castelnuovo Nigra, Cintano, Colleretto Castelnuovo, Cuorgnè, Issiglio, Ozegna, Parella, Quagliuzzo, Rivarolo Canavese, Rueglio, Salassa, San Martino Canavese, Torre Canavese, Valchiusa, Val di Chy, Valperga, Vidracco"
Altre informazioni,Altre informazioni
Cod. postale,10081
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001066
Cod. catastale,C133
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 659 GG[3]"
Nome abitanti,castellamontesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Castellamonte,Castellamonte
Castellamonte – MappaLocalizzazione del comune di Castellamonte nella città metropolitana di Torino.,Castellamonte – MappaLocalizzazione del comune di Castellamonte nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
