Rivarolo Canavese comune,Rivarolo Canavese comune.1
,
Rivarolo Canavese – VedutaChiesa di San Michele Arcangelo,Rivarolo Canavese – VedutaChiesa di San Michele Arcangelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Martino Zucco Chinà (lista civica - Noi Rivarolo) dal 09-06-2024
Territorio,Territorio
Coordinate,45°19′52.38″N 7°43′01.68″E
Altitudine,318 m s.l.m.
Superficie,"32,25 km²"
Abitanti,12 298[1] (30-11-2025)
Densità,"381,33 ab./km²"
Frazioni,"Argentera, Bonaudi, Cardine, Mastri, Obiano, Paglie, Pasquaro, Praglie, Sant'Anna, Vesignano."
Comuni confinanti,"Bosconero, Castellamonte, Ciconio, Favria, Feletto, Lombardore, Lusigliè, Oglianico, Ozegna, Rivarossa, Salassa"
Altre informazioni,Altre informazioni
Cod. postale,10086
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001217
Cod. catastale,H340
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 600 GG[3]"
Nome abitanti,rivarolesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Rivarolo Canavese,Rivarolo Canavese
Rivarolo Canavese – MappaLocalizzazione del comune di Rivarolo Canavese nella città metropolitana di Torino.,Rivarolo Canavese – MappaLocalizzazione del comune di Rivarolo Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
