Roletto comune,Roletto comune.1
,
Roletto – VedutaRoletto visto dalla Rocca Vautero.,Roletto – VedutaRoletto visto dalla Rocca Vautero.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Cristiana Storello (lista civica Indipendenti Rolettesi) dall'8-6-2009
Territorio,Territorio
Coordinate,44°55′28.89″N 7°19′52.77″E
Altitudine,412 m s.l.m.
Superficie,"9,7 km²"
Abitanti,1 971[1] (30-11-2025)
Densità,"203,2 ab./km²"
Frazioni,Roncaglia
Comuni confinanti,"Cantalupa, Frossasco, Pinerolo"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001222
Cod. catastale,H498
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 868 GG[3]"
Nome abitanti,rolettesi
Cartografia,Cartografia
Roletto,Roletto
Roletto – MappaLocalizzazione del comune di Roletto nella città metropolitana di Torino.,Roletto – MappaLocalizzazione del comune di Roletto nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
