Nole comune,Nole comune.1
,
Nole – Veduta,Nole – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luca Francesco Bertino (lista civica Idee in comune) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°14′38.19″N 7°34′22.77″E
Altitudine,372 m s.l.m.
Superficie,"11,35 km²"
Abitanti,6 664[1] (30-11-2025)
Densità,"587,14 ab./km²"
Frazioni,"Grange, Vauda"
Comuni confinanti,"Cirié, Corio, Fiano, Grosso, Robassomero, Rocca Canavese, San Carlo Canavese, Villanova Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10076
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001166
Cod. catastale,F925
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 948 GG[3]"
Nome abitanti,nolesi
Patrono,san Vincenzo martire
Giorno festivo,22 gennaio
Cartografia,Cartografia
Nole,Nole
Nole – MappaLocalizzazione del comune di Nole nella città metropolitana di Torino.,Nole – MappaLocalizzazione del comune di Nole nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
