Riva presso Chieri comune,Riva presso Chieri comune.1
,
Riva presso Chieri – VedutaRiva presso Chieri,Riva presso Chieri – VedutaRiva presso Chieri
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Massimo Perotti (lista civica) dal 9-5-2024
Territorio,Territorio
Coordinate,44°59′11.2″N 7°52′10.1″E
Altitudine,262 m s.l.m.
Superficie,"35,83 km²"
Abitanti,4 751[1] (30-11-2025)
Densità,"132,6 ab./km²"
Frazioni,San Giovanni
Comuni confinanti,"Arignano, Buttigliera d'Asti (AT), Chieri, Mombello di Torino, Moriondo Torinese, Poirino, Villanova d'Asti (AT)"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001215
Cod. catastale,H337
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 747 GG[3]"
Nome abitanti,rivesi
Patrono,sant'Albano
Giorno festivo,22 giugno
Cartografia,Cartografia
Riva presso Chieri,Riva presso Chieri
Riva presso Chieri – MappaLocalizzazione del comune di Riva presso Chieri nella città metropolitana di Torino.,Riva presso Chieri – MappaLocalizzazione del comune di Riva presso Chieri nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
