Chieri comune,Chieri comune.1
,
Chieri – VedutaPiazza Mazzini,Chieri – VedutaPiazza Mazzini
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessandro Sicchiero (PD) dal 10-6-2019
Territorio,Territorio
Coordinate,45°00′49.98″N 7°49′20.47″E
Altitudine,283 m s.l.m.
Superficie,"54,2 km²"
Abitanti,35 790[1] (30-11-2025)
Densità,"660,33 ab./km²"
Frazioni,"Madonna della Scala, Pessione, Airali, Fontaneto, Mosi, Mosetti, Borgata Falcettini, Tetti Fasano, Canarone, Cascina Monza, Tetti Borri, Tetti Cochis, Livorna"
Comuni confinanti,"Andezeno, Arignano, Baldissero Torinese, Cambiano, Montaldo Torinese, Pavarolo, Pecetto Torinese, Pino Torinese, Poirino, Riva presso Chieri, Santena"
Altre informazioni,Altre informazioni
Cod. postale,10023
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001078
Cod. catastale,C627
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 778 GG[3]"
Nome abitanti,chieresi
Patrono,Santa Maria delle Grazie
Giorno festivo,secondo lunedì di settembre
Cartografia,Cartografia
Chieri,Chieri
Chieri – MappaLocalizzazione del comune di Chieri nella città metropolitana di Torino.,Chieri – MappaLocalizzazione del comune di Chieri nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
