Giaglione comune,Giaglione comune.1
(IT) Comune di Giaglione,(IT) Comune di Giaglione
,
Giaglione – VedutaVista del paese,Giaglione – VedutaVista del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Enzo Campo Bagatin dal 09-06-2024
Territorio,Territorio
Coordinate,45°08′24.86″N 7°00′53.12″E
Altitudine,774[1] m s.l.m.
Superficie,"33,38 km²"
Abitanti,587[2] (30-11-2025)
Densità,"17,59 ab./km²"
Frazioni,"Boscoferando (Boufaran), Cornale, Creusa (Madonna), Pianderuine (Darouines), Pradonio, Rastella, San Giovanni, San Giuseppe, San Gregorio, San Lorenzo, San Rocco, Santa Chiara, Sant'Andrea, Sant'Anna, Sant'Antonio, Santo Stefano"
Comuni confinanti,"Val-Cenis (FR-73), Chiomonte, Exilles, Gravere, Mompantero, Susa"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001114
Cod. catastale,E009
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[3]
Cl. climatica,"zona F, 3 510 GG[4]"
Nome abitanti,giaglionesi
Patrono,san Vincenzo martire
Giorno festivo,22 gennaio
Cartografia,Cartografia
Giaglione,Giaglione
Giaglione – MappaLocalizzazione del comune di Giaglione nella città metropolitana di Torino.,Giaglione – MappaLocalizzazione del comune di Giaglione nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
