Osasio comune,Osasio comune.1
,
Osasio – VedutaVeduta invernale del paese,Osasio – VedutaVeduta invernale del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Silvio Cerutti (lista civica) dal 30-3-2010 (3º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,44°52′17.19″N 7°36′28.89″E
Altitudine,241 m s.l.m.
Superficie,"4,58 km²"
Abitanti,892[1] (30-11-2025)
Densità,"194,76 ab./km²"
Frazioni,"Balbo, Borgonuovo"
Comuni confinanti,"Carignano, Castagnole Piemonte, Lombriasco, Pancalieri, Virle Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001174
Cod. catastale,G152
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 612 GG[3]"
Nome abitanti,osasiesi
Patrono,Santissima Trinità
Giorno festivo,prima domenica dopo la Pentecoste
Cartografia,Cartografia
Osasio,Osasio
Osasio – MappaLocalizzazione del comune di Osasio nella città Metropolitana di Torino.,Osasio – MappaLocalizzazione del comune di Osasio nella città Metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
