Pavarolo comune,Pavarolo comune.1
,
Pavarolo – VedutaVeduta panoramica,Pavarolo – VedutaVeduta panoramica
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Laura Martini (lista civica Pavarolo sei tu) dall'11-6-2017
Territorio,Territorio
Coordinate,45°04′20.88″N 7°50′04.82″E
Altitudine,363 m s.l.m.
Superficie,"4,41 km²"
Abitanti,1 167[1] (30-11-2025)
Densità,"264,63 ab./km²"
Comuni confinanti,"Baldissero Torinese, Castiglione Torinese, Chieri, Gassino Torinese, Montaldo Torinese"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001180
Cod. catastale,G387
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 898 GG[3]"
Nome abitanti,pavarolesi
Patrono,san Secondo
Cartografia,Cartografia
Pavarolo,Pavarolo
Pavarolo – MappaLocalizzazione del comune di Pavarolo nella città metropolitana di Torino.,Pavarolo – MappaLocalizzazione del comune di Pavarolo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
