Front comune,Front comune.1
,
Front – VedutaPanorama,Front – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Andrea Perino (lista civica Insieme per Front) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°16′51.07″N 7°39′49.02″E
Altitudine,270 m s.l.m.
Superficie,"10,95 km²"
Abitanti,1 593[1] (30-11-2025)
Densità,"145,48 ab./km²"
Frazioni,"Ceretti, Grange di Front"
Comuni confinanti,"Busano, Favria, Oglianico, Rivarossa, San Francesco al Campo, Vauda Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001109
Cod. catastale,D805
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 759 GG[3]"
Nome abitanti,frontesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Front,Front
Front – MappaLocalizzazione del comune di Front nella città metropolitana di Torino.,Front – MappaLocalizzazione del comune di Front nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
