Oulx comune,Oulx comune.1
,
Oulx – VedutaVeduta della piana di Oulx,Oulx – VedutaVeduta della piana di Oulx
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mauro Cassi (lista civica) dal 27-6-2024
Territorio,Territorio
Coordinate,45°01′58.99″N 6°49′57.04″E
Altitudine,1 100[1] m s.l.m.
Superficie,"99,79 km²"
Abitanti,3 280[2] (30-11-2025)
Densità,"32,87 ab./km²"
Frazioni,"Amazas, Auberges, Beaulard, Beaume, Chateau-Beaulard, Clots, Constans, Gad, Monfol, Pierremenaud, Puy, Royeres, San Marco, Savoulx, Signols, Soubras, Vazon, Villard"
Comuni confinanti,"Bardonecchia, Cesana Torinese, Exilles, Névache (FR-05), Pragelato, Salbertrand, Sauze d'Oulx, Sestriere"
Altre informazioni,Altre informazioni
Cod. postale,10056
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001175
Cod. catastale,G196
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 4 100 GG[4]"
Nome abitanti,ulcensi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Oulx,Oulx
Oulx – MappaLocalizzazione del comune di Oulx nella città metropolitana di Torino.,Oulx – MappaLocalizzazione del comune di Oulx nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
