Laterza comune,Laterza comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Laterza – VedutaVeduta del centro storico di Laterza,Laterza – VedutaVeduta del centro storico di Laterza
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Franco Frigiola (lista civica di centro-sinistra) dal 22-9-2020
Territorio,Territorio
Coordinate,40°38′N 16°48′E
Altitudine,362 m s.l.m.
Superficie,"161,17[1] km²"
Abitanti,14 590[2] (30-11-2025)
Densità,"90,53 ab./km²"
Comuni confinanti,"Castellaneta, Ginosa, Gioia del Colle (BA), Matera (MT), Santeramo in Colle (BA)"
Altre informazioni,Altre informazioni
Cod. postale,74014
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073009
Cod. catastale,E469
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 657 GG[4]"
Nome abitanti,laertini
Patrono,Maria SS.ma Mater Domini
Giorno festivo,20 maggio
Cartografia,Cartografia
Laterza,Laterza
Laterza – MappaPosizione del comune di Laterza all'interno della provincia di Taranto,Laterza – MappaPosizione del comune di Laterza all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
