Taranto comune,Taranto comune.1
,
Taranto – Veduta,Taranto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Pietro Bitetti (Con) dal 9-6-2025
Territorio,Territorio
Coordinate,40°28′16″N 17°14′35″E
Altitudine,15 m s.l.m.
Superficie,"249,86 km²"
Acque interne,"71,53 km² (28,63%)"
Abitanti,185 212[1] (30-11-2025)
Densità,"741,26 ab./km²"
Comuni confinanti,"Carosino, Faggiano, Fragagnano, Grottaglie, Leporano, Lizzano, Martina Franca, Massafra, Monteiasi, Montemesola, Monteparano, Pulsano, Roccaforzata, San Giorgio Ionico, San Marzano di San Giuseppe, Statte"
Altre informazioni,Altre informazioni
Cod. postale,74100-74121-74122-74123
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073027
Cod. catastale,L049
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 071 GG[3]"
Nome abitanti,tarantini
Patrono,san Cataldo
Giorno festivo,10 maggio 8 dicembre
Soprannome,Città dei Due Mari[4]
Cartografia,Cartografia
Taranto,Taranto
Taranto – MappaPosizione del comune di Taranto all'interno dell'omonima provincia,Taranto – MappaPosizione del comune di Taranto all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
