Livorno comune,Livorno comune.1
,
Livorno – VedutaVeduta aerea del centro,Livorno – VedutaVeduta aerea del centro
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Livorno
Amministrazione,Amministrazione
Sindaco,Luca Salvetti (indipendente di centro-sinistra[1][2]) dall'11-6-2019 (2º mandato dal 13-6-2024)
Territorio,Territorio
Coordinate,43°33′N 10°19′E
Altitudine,3 m s.l.m.
Superficie,"104,71 km²"
Abitanti,152 561[3] (30-11-2025)
Densità,"1 456,99 ab./km²"
Frazioni,"Castellaccio, Gorgona, Limoncino, Quercianella, Valle Benedetta"
Comuni confinanti,"Collesalvetti, Pisa (PI), Rosignano Marittimo"
Altre informazioni,Altre informazioni
Cod. postale,57121–57128
Prefisso,0586
Fuso orario,UTC+1
Codice ISTAT,049009
Cod. catastale,E625
Targa,LI
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona D, 1 408 GG[5]"
Nome abitanti,"livornese, livornesi[6]; labronico, labronici[6]"
Patrono,Giulia di Corsica
Giorno festivo,22 maggio
Cartografia,Cartografia
Livorno,Livorno
Livorno – MappaPosizione del comune di Livorno all'interno dell’omonima provincia,Livorno – MappaPosizione del comune di Livorno all'interno dell’omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
