Ormelle comune,Ormelle comune.1
,
Ormelle – Veduta,Ormelle – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Andrea Manente (Lega Nord - lista civica Ormelle viva) dal 27-5-2019
Territorio,Territorio
Coordinate,45°46′49″N 12°25′11″E
Altitudine,22 m s.l.m.
Superficie,"18,83 km²"
Abitanti,4 471[1] (30-11-2025)
Densità,"237,44 ab./km²"
Frazioni,"Roncadelle, Tempio"
Comuni confinanti,"Breda di Piave, Cimadolmo, Fontanelle, Maserada sul Piave, Oderzo, Ponte di Piave, San Polo di Piave"
Altre informazioni,Altre informazioni
Cod. postale,31024
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026052
Cod. catastale,G115
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,ormellesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Ormelle,Ormelle
Ormelle – MappaIl territorio comunale nella provincia di Treviso.,Ormelle – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
