Spresiano comune,Spresiano comune.1
,
Spresiano – Veduta,Spresiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Marco Della Pietra (lista civica) dal 31-5-2015
Territorio,Territorio
Coordinate,45°47′N 12°15′E
Altitudine,56 m s.l.m.
Superficie,"25,73 km²"
Abitanti,12 405[1] (30-11-2025)
Densità,"482,12 ab./km²"
Frazioni,"Lovadina, Visnadello"
Comuni confinanti,"Arcade, Carbonera, Cimadolmo, Mareno di Piave, Maserada sul Piave, Nervesa della Battaglia, Santa Lucia di Piave, Susegana, Villorba"
Altre informazioni,Altre informazioni
Cod. postale,31027
Prefisso,0422
Fuso orario,UTC+1
Codice ISTAT,026082
Cod. catastale,I927
Targa,TV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 430 GG[3]"
Nome abitanti,spresianesi
Patrono,Madonna del Rosario
Giorno festivo,primo lunedì di ottobre
Cartografia,Cartografia
Spresiano,Spresiano
Spresiano – MappaIl territorio comunale nella provincia di Treviso.,Spresiano – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
