Revine Lago comune,Revine Lago comune.1
,
Revine Lago – Veduta,Revine Lago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Treviso
Amministrazione,Amministrazione
Sindaco,Massimo Magagnin (lista civica Prima Revine Lago) dal 27-5-2019
Data di istituzione,1868
Territorio,Territorio
Coordinate,46°00′03.72″N 12°13′31.98″E
Altitudine,246 m s.l.m.
Superficie,"18,79 km²"
Abitanti,2 098[1] (30-11-2025)
Densità,"111,66 ab./km²"
Frazioni,"Lago, Revine, Santa Maria, Sottocroda"
Comuni confinanti,"Borgo Valbelluna (BL), Cison di Valmarino, Limana (BL), Tarzo, Vittorio Veneto"
Altre informazioni,Altre informazioni
Cod. postale,31020
Prefisso,0438
Fuso orario,UTC+1
Codice ISTAT,026067
Cod. catastale,H253
Targa,TV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 795 GG[3]"
Nome abitanti,"revinesi, laghesi"
Patrono,San Matteo (Revine); san Giorgio martire (Lago)
Giorno festivo,21 settembre; 23 aprile
Cartografia,Cartografia
Revine Lago,Revine Lago
Revine Lago – MappaIl territorio comunale nella provincia di Treviso.,Revine Lago – MappaIl territorio comunale nella provincia di Treviso.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
