Provincia di Treviso provincia,Provincia di Treviso provincia.1
,
Provincia di Treviso – VedutaSede della provincia di Treviso.,Provincia di Treviso – VedutaSede della provincia di Treviso.
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Amministrazione,Amministrazione
Capoluogo,Treviso
Presidente,Marco Donadel (centro-destra) dal 1-2-2026
Territorio,Territorio
Coordinate del capoluogo,45°40′20″N 12°14′32″E
Superficie,"2 479,83 km²"
Abitanti,878 703[1] (30-11-2025)
Densità,"354,34 ab./km²"
Comuni,94 comuni
Province confinanti,"Belluno, Venezia, Padova, Vicenza, Pordenone"
Altre informazioni,Altre informazioni
Cod. postale,"31100, 31010-31059"
Prefisso,"041, 0421, 0422, 0423, 0434, 0438"
Fuso orario,UTC+1
ISO 3166-2,IT-TV
Codice ISTAT,026
Targa,TV
Cartografia,Cartografia
Provincia di Treviso – Localizzazione,Provincia di Treviso – Localizzazione
Provincia di Treviso – MappaPosizione della provincia di Treviso all'interno del Veneto.,Provincia di Treviso – MappaPosizione della provincia di Treviso all'interno del Veneto.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
