Raccuja comune,Raccuja comune.1
,
Raccuja – Veduta,Raccuja – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Ivan Martella (lista civica) dal 5-10-2020
Territorio,Territorio
Coordinate,38°03′20.11″N 14°54′38.19″E
Altitudine,640 m s.l.m.
Superficie,"25,2[1] km²"
Abitanti,834[2] (30-11-2025)
Densità,"33,1 ab./km²"
Frazioni,"Batiola, Campo Melia, Fondachello, Fossochiodo, San Nicolò, Zappa"
Comuni confinanti,"Floresta, Montalbano Elicona, San Piero Patti, Sant'Angelo di Brolo, Sinagra, Ucria"
Altre informazioni,Altre informazioni
Cod. postale,98067
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083069
Cod. catastale,H151
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 721 GG[4]"
Nome abitanti,raccuiesi
Patrono,Maria SS. Annunziata
Giorno festivo,21 settembre
Cartografia,Cartografia
Raccuja,Raccuja
Raccuja – MappaPosizione del comune di Raccuja all'interno della città metropolitana di Messina,Raccuja – MappaPosizione del comune di Raccuja all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
