Milazzo comune,Milazzo comune.1
,
Milazzo – VedutaPanorama di Milazzo,Milazzo – VedutaPanorama di Milazzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giuseppe Midili[1] (lista civica di centro-destra) dal 5-10-2020
Territorio,Territorio
Coordinate,38°13′01.2″N 15°14′13.2″E
Altitudine,1 m s.l.m.
Superficie,"24,7[2] km²"
Abitanti,29 788[3] (30-11-2025)
Densità,"1 205,99 ab./km²"
Frazioni,"Acqueviole, Addolorata, Badessa, Baronello, Baronia, Bastione, Bevaceto, Botteghelle, Bilemi, Capo Milazzo, Ciantro, Croce al Promontorio, Faraone, Fiumarella, Fossazzo, Manica, Masseria, Olivarella, Paradiso, Parco Nuovo, Parco Vecchio, Pezza del Pioppo, Pezza Grande, Pietre Rosse, San Paolino, San Papino, Santa Maria delle Grazie, San Giovanni, San Marco, San Pietro, Sant' Antonio, Santa Marina di Milazzo, Scaccia, Stella, Tono, Torretta Spiaggia, Trinità"
Comuni confinanti,"Barcellona Pozzo di Gotto, Merì, San Filippo del Mela"
Altre informazioni,Altre informazioni
Cod. postale,98057
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083049
Cod. catastale,F206
Targa,ME
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona B, 628 GG[5]"
Nome abitanti,"milazzesi, mamertini, milaiti"
Patrono,santo Stefano Protomartire
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Milazzo,Milazzo
Milazzo – MappaPosizione del comune di Milazzo nella città metropolitana di Messina,Milazzo – MappaPosizione del comune di Milazzo nella città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
