Santa Marina Salina comune,Santa Marina Salina comune.1
,
Santa Marina Salina – VedutaIl paese e il litorale,Santa Marina Salina – VedutaIl paese e il litorale
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Domenico Arabia (lista civica) dal 13-6-2017
Territorio,Territorio
Coordinate,38°34′N 14°52′E
Altitudine,25 m s.l.m.
Superficie,"8,78[1] km²"
Acque interne,"0,027 km² (0,31%)"
Abitanti,876[2] (30-11-2025)
Densità,"99,77 ab./km²"
Frazioni,Lingua
Comuni confinanti,"Leni, Malfa"
Altre informazioni,Altre informazioni
Cod. postale,98050
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083087
Cod. catastale,I254
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 669 GG[4]"
Nome abitanti,santamarinesi
Patrono,santa Marina
Giorno festivo,17 luglio
Cartografia,Cartografia
Santa Marina Salina,Santa Marina Salina
Santa Marina Salina – MappaPosizione del comune di Santa Marina Salina nella città metropolitana di Messina,Santa Marina Salina – MappaPosizione del comune di Santa Marina Salina nella città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
