Ficarra comune,Ficarra comune.1
,
Ficarra – Veduta,Ficarra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Basilio Ridolfo (lista civica) dal 10-10-2021
Territorio,Territorio
Coordinate,38°06′36″N 14°49′47″E
Altitudine,450 m s.l.m.
Superficie,"18,66[1] km²"
Abitanti,1 272[2] (30-11-2025)
Densità,"68,17 ab./km²"
Frazioni,"Crocevia, Matini, Rinella, Sauro, San Giacomo, San Mauro"
Comuni confinanti,"Brolo, Naso, Sant'Angelo di Brolo, Sinagra"
Altre informazioni,Altre informazioni
Cod. postale,98062
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083020
Cod. catastale,D569
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 396 GG[4]"
Nome abitanti,ficarresi
Patrono,Madonna Santissima Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Ficarra,Ficarra
Ficarra – MappaPosizione del comune di Ficarra all'interno della città metropolitana di Messina,Ficarra – MappaPosizione del comune di Ficarra all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
