Piraino comune,Piraino comune.1
,
Piraino – Veduta,Piraino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Salvatore Cipriano (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,38°09′42″N 14°51′40″E
Altitudine,416 m s.l.m.
Superficie,"16,97[1] km²"
Abitanti,3 728[2] (30-11-2025)
Densità,"219,68 ab./km²"
Frazioni,"Calanovella, Fiumara, Gliaca, Lacco, Leomandri, Merca, Salinà, San Biagio, San Costantino, San Leonardo, Sant'Arcangelo, Sant'Ignazio, Zappardino"
Comuni confinanti,"Brolo, Gioiosa Marea, Sant'Angelo di Brolo"
Altre informazioni,Altre informazioni
Cod. postale,98060
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083068
Cod. catastale,G699
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 336 GG[4]"
Nome abitanti,pirainesi
Patrono,san Giuseppe
Giorno festivo,primo martedì dopo Pasqua
Cartografia,Cartografia
Piraino,Piraino
Piraino – MappaPosizione del comune di Piraino all'interno della città metropolitana di Messina,Piraino – MappaPosizione del comune di Piraino all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
