Carlantino comune,Carlantino comune.1
,
Carlantino – Veduta,Carlantino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Graziano Coscia (lista civica Cambiamo Carlantino) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°35′40.51″N 14°58′31.49″E
Altitudine,558 m s.l.m.
Superficie,"34,71 km²"
Abitanti,745[1] (30-11-2025)
Densità,"21,46 ab./km²"
Comuni confinanti,"Casalnuovo Monterotaro, Celenza Valfortore, Colletorto (CB), Macchia Valfortore (CB), San Marco la Catola, Sant'Elia a Pianisi (CB)"
Altre informazioni,Altre informazioni
Cod. postale,71030
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071011
Cod. catastale,B784
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 049 GG[3]"
Nome abitanti,carlantinesi
Patrono,san Donato e san Rocco
Giorno festivo,7 agosto
PIL procapite,(nominale) 12 714 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Carlantino,Carlantino
Carlantino – MappaPosizione del comune di Carlantino nella provincia di Foggia,Carlantino – MappaPosizione del comune di Carlantino nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
