Roseto Valfortore comune,Roseto Valfortore comune.1
,
Roseto Valfortore – Veduta,Roseto Valfortore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Lucilla Parisi (lista civica Uniti per cambiare) dal 11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°22′00″N 15°06′00″E
Altitudine,658 m s.l.m.
Superficie,"50,06 km²"
Abitanti,982[1] (30-11-2025)
Densità,"19,62 ab./km²"
Comuni confinanti,"Alberona, Biccari, Castelfranco in Miscano (BN), Faeto, Foiano di Val Fortore (BN), Montefalcone di Val Fortore (BN), San Bartolomeo in Galdo (BN)"
Altre informazioni,Altre informazioni
Cod. postale,71039
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071044
Cod. catastale,H568
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 258 GG[3]"
Nome abitanti,rosetani
Patrono,san Filippo Neri
PIL procapite,(nominale) 10 734 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Roseto Valfortore,Roseto Valfortore
Roseto Valfortore – MappaPosizione del comune di Roseto Valfortore nella provincia di Foggia,Roseto Valfortore – MappaPosizione del comune di Roseto Valfortore nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
