Cagnano Varano comune,Cagnano Varano comune.1
,
Cagnano Varano – VedutaIl centro storico di Cagnano,Cagnano Varano – VedutaIl centro storico di Cagnano
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Michele Di Pumpo (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,41°50′N 15°46′E
Altitudine,165 m s.l.m.
Superficie,"166,84 km²"
Abitanti,6 535[1] (30-11-2025)
Densità,"39,17 ab./km²"
Frazioni,"Porto di Capojale, Bagno di Varano, San Nicola Imbuti"
Comuni confinanti,"Carpino, Ischitella, Monte Sant'Angelo, San Marco in Lamis, San Nicandro Garganico"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071008
Cod. catastale,B357
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 396 GG[3]"
Nome abitanti,cagnanesi
Patrono,"san Michele, san Cataldo"
Giorno festivo,"8 maggio, 10 maggio"
PIL procapite,(nominale) 13 170 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Cagnano Varano,Cagnano Varano
Cagnano Varano – MappaPosizione del comune di Cagnano Varano nella provincia di Foggia,Cagnano Varano – MappaPosizione del comune di Cagnano Varano nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
