Giussano comune,Giussano comune.1
Città di Giussano,Città di Giussano
,
Giussano – VedutaPiazza Roma,Giussano – VedutaPiazza Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Monza e Brianza
Amministrazione,Amministrazione
Sindaco,Marco Citterio (centro-destra) dal 26-5-2019
Territorio,Territorio
Coordinate,45°42′N 9°13′E
Altitudine,256 m s.l.m.
Superficie,"10,28 km²"
Abitanti,26 533[1] (30-11-2025)
Densità,"2 581,03 ab./km²"
Frazioni,"Birone, Paina-Brugazzo, Robbiano"
Comuni confinanti,"Arosio (CO), Briosco, Carate Brianza, Carugo (CO), Inverigo (CO), Mariano Comense (CO), Seregno, Verano Brianza"
Altre informazioni,Altre informazioni
Cod. postale,20833
Prefisso,0362
Fuso orario,UTC+1
Codice ISTAT,108024
Cod. catastale,E063
Targa,MB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 547 GG[3]"
Nome abitanti,giussanesi
Patrono,Giussano: santi Filippo e Giacomo e Madonna del Rosario Robbiano: santi Quirico e Giulitta Birone: santo Stefano Paina-Brugazzo: santa Margherita
Giorno festivo,1ª domenica di ottobre
Cartografia,Cartografia
Giussano,Giussano
Giussano – MappaPosizione del comune di Giussano nella provincia di Monza e della Brianza,Giussano – MappaPosizione del comune di Giussano nella provincia di Monza e della Brianza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
