Oschiri comune,Oschiri comune.1
,
Oschiri – Veduta,Oschiri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Gallura Nord-Est Sardegna
Amministrazione,Amministrazione
Sindaco,Roberto Carta (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°43′08.51″N 9°06′05.35″E
Altitudine,202 m s.l.m.
Superficie,"215,61 km²"
Abitanti,2 892[1] (30-11-2025)
Densità,"13,41 ab./km²"
Frazioni,"San Leonardo, Lu pecurili, Su signaladu, Su Noduladu"
Comuni confinanti,"Alà dei Sardi, Berchidda, Buddusò, Ozieri (SS), Pattada (SS), Tempio Pausania, Tula (SS)"
Altre informazioni,Altre informazioni
Cod. postale,07027
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,113018
Cod. catastale,G153
Targa,OT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) oschiresi (SC) oschiresos
Patrono,san Demetrio
PIL,(nominale) 9784
Cartografia,Cartografia
Oschiri,Oschiri
Oschiri – MappaPosizione del comune di Oschiri nella provincia della Gallura Nord-Est Sardegna,Oschiri – MappaPosizione del comune di Oschiri nella provincia della Gallura Nord-Est Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
