Porcari comune,Porcari comune.1
,
Porcari – Veduta,Porcari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Leonardo Fornaciari (PD) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,43°50′29.47″N 10°36′58.75″E
Altitudine,32 m s.l.m.
Superficie,"17,89 km²"
Abitanti,8 906[1] (30-11-2025)
Densità,"497,82 ab./km²"
Frazioni,"Padule, Rughi[2]"
Comuni confinanti,"Altopascio, Capannori, Montecarlo"
Altre informazioni,Altre informazioni
Cod. postale,55016
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046026
Cod. catastale,G882
Targa,LU
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 676 GG[4]"
Nome abitanti,porcaresi
Patrono,san Giusto di Volterra
Giorno festivo,lunedì dopo Pentecoste
Cartografia,Cartografia
Porcari,Porcari
Porcari – MappaPosizione del comune di Porcari all'interno della provincia di Lucca,Porcari – MappaPosizione del comune di Porcari all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
