Borgo a Mozzano comune,Borgo a Mozzano comune.1
,
Borgo a Mozzano – VedutaIl Ponte della Maddalena,Borgo a Mozzano – VedutaIl Ponte della Maddalena
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Patrizio Andreuccetti (lista civica Missione domani) dal 26-5-2014 (2º mandato dall'8-6-2024)
Territorio,Territorio
Coordinate,43°58′47″N 10°32′48″E
Altitudine,97 m s.l.m.
Superficie,"72,2 km²"
Abitanti,6 689[1] (30-11-2025)
Densità,"92,65 ab./km²"
Frazioni,"Anchiano, Cerreto, Chifenti, Corsagna, Cune, Dezza, Diecimo, Domazzano, Gioviano, Motrone, Oneta, Partigliano, Piano della Rocca, Rocca, San Romano, Tempagnano, Valdottavo[2]"
Comuni confinanti,"Bagni di Lucca, Capannori, Coreglia Antelminelli, Fabbriche di Vergemoli, Gallicano, Lucca, Pescaglia, Villa Basilica"
Altre informazioni,Altre informazioni
Cod. postale,55023
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046004
Cod. catastale,B007
Targa,LU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 101 GG[4]"
Nome abitanti,borghigiani
Patrono,Madonna delle Grazie
Cartografia,Cartografia
Borgo a Mozzano,Borgo a Mozzano
Borgo a Mozzano – MappaPosizione del comune di Borgo a Mozzano all'interno della provincia di Lucca,Borgo a Mozzano – MappaPosizione del comune di Borgo a Mozzano all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
