Castelnuovo di Garfagnana comune,Castelnuovo di Garfagnana comune.1
,
Castelnuovo di Garfagnana – Veduta,Castelnuovo di Garfagnana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Andrea Tagliasacchi (Partito Democratico) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°07′19″N 10°24′20″E
Altitudine,270 m s.l.m.
Superficie,"28,48 km²"
Abitanti,5 615[1] (30-11-2025)
Densità,"197,16 ab./km²"
Frazioni,"Antisciana, Cerretoli, Colle, Croce di Stazzana, Gragnanella, Palleroso, Rontano[2]"
Comuni confinanti,"Camporgiano, Careggine, Fosciandora, Gallicano, Molazzana, Pieve Fosciana"
Altre informazioni,Altre informazioni
Cod. postale,55032
Prefisso,0583
Fuso orario,UTC+1
Codice ISTAT,046009
Cod. catastale,C236
Targa,LU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 234 GG[4]"
Nome abitanti,"castelnuovesi, castelnovesi"
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Castelnuovo di Garfagnana,Castelnuovo di Garfagnana
Castelnuovo di Garfagnana – MappaPosizione del comune di Castelnuovo di Garfagnana all'interno della provincia di Lucca,Castelnuovo di Garfagnana – MappaPosizione del comune di Castelnuovo di Garfagnana all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
