Pietrasanta comune,Pietrasanta comune.1
,
Pietrasanta – VedutaPiazza Duomo,Pietrasanta – VedutaPiazza Duomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Lucca
Amministrazione,Amministrazione
Sindaco,Alberto Stefano Giovannetti (lista civica di centro-destra) dal 24-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,43°56′42.68″N 10°13′05.77″E
Altitudine,14 m s.l.m.
Superficie,"41,6 km²"
Abitanti,22 663[1] (30-11-2025)
Densità,"544,78 ab./km²"
Frazioni,"Capezzano Monte, Capriglia, Strettoia, Vallecchia, Valdicastello, Marina di Pietrasanta, Solaio, Vitoio, Castello, Africa, Macelli, Crociale, Ponte Rosso, Traversagna."
Comuni confinanti,"Camaiore, Forte dei Marmi, Montignoso (MS), Seravezza, Stazzema"
Altre informazioni,Altre informazioni
Cod. postale,55045
Prefisso,0584
Fuso orario,UTC+1
Codice ISTAT,046024
Cod. catastale,G628
Targa,LU
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 428 GG[3]"
Nome abitanti,"pietrasantesi; localmente anche pietrasantini o, vulgo, piastrini"
Patrono,san Martino e san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Pietrasanta,Pietrasanta
Pietrasanta – MappaPosizione del comune di Pietrasanta all'interno della provincia di Lucca,Pietrasanta – MappaPosizione del comune di Pietrasanta all'interno della provincia di Lucca
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
