Mara comune,Mara comune.1
"(IT, SC) Màra","(IT, SC) Màra"
,
Mara – Veduta,Mara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Paolo Chessa (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°24′35.65″N 8°38′13.1″E
Altitudine,257 m s.l.m.
Superficie,"18,64 km²"
Abitanti,522[1] (30-11-2025)
Densità,28 ab./km²
Comuni confinanti,"Cossoine, Padria, Pozzomaggiore"
Altre informazioni,Altre informazioni
Cod. postale,07010
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112029
Cod. catastale,E902
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 412 GG[3]"
Nome abitanti,(IT) maresi (SC) maresos
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Mara,Mara
Mara – MappaPosizione del comune di Mara nella città metropolitana di Sassari,Mara – MappaPosizione del comune di Mara nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
