Alghero comune,Alghero comune.1
(IT) Alghero (CA) L'Alguer,(IT) Alghero (CA) L'Alguer
,
"Alghero – VedutaUna vista del centro storico algherese, con Capo Caccia sullo sfondo, dalla terrazza della torre di Porta Terra","Alghero – VedutaUna vista del centro storico algherese, con Capo Caccia sullo sfondo, dalla terrazza della torre di Porta Terra"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Raimondo Cacciotto (AVS) dal 10-6-2024
Territorio,Territorio
Coordinate,40°33′36″N 8°18′54″E
Altitudine,7 m s.l.m.
Superficie,"225,4 km²"
Abitanti,41 803[1] (30-11-2025)
Densità,"185,46 ab./km²"
Frazioni,"Fertilia, Guardia Grande, I Piani, Loretella, Maristella, Sa Segada, Tanca Farrà, Santa Maria La Palma, Tramariglio, Villassunta (condivisa con il comune di Sassari)"
Comuni confinanti,"Olmedo, Putifigari, Sassari, Uri, Villanova Monteleone"
Altre informazioni,Altre informazioni
Lingue,"Italiano, catalano e sardo"
Cod. postale,07041
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112001
Cod. catastale,A192
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 001 GG[3]"
Nome abitanti,(IT) algheresi (CA) algueresos (pron. algarésus) (SC) s'aligheresos
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Alghero,Alghero
Alghero – MappaPosizione del comune di Alghero nella città metropolitana di Sassari,Alghero – MappaPosizione del comune di Alghero nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
