Cheremule comune,Cheremule comune.1
(IT) Cheremule (SC) Chelèmure,(IT) Cheremule (SC) Chelèmure
,
Cheremule – Veduta,Cheremule – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Sassari
Amministrazione,Amministrazione
Sindaco,Salvatore Masia (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,40°30′20″N 8°43′29″E
Altitudine,540 m s.l.m.
Superficie,"24,25 km²"
Abitanti,380[1] (30-11-2025)
Densità,"15,67 ab./km²"
Comuni confinanti,"Borutta, Cossoine, Giave, Thiesi, Torralba"
Altre informazioni,Altre informazioni
Cod. postale,07040
Prefisso,079
Fuso orario,UTC+1
Codice ISTAT,112017
Cod. catastale,C600
Targa,SS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) cheremulesi (SC) chelemuresos
Patrono,san Gabriele
Giorno festivo,29 settembre
Cartografia,Cartografia
Cheremule,Cheremule
Cheremule – MappaPosizione del comune di Cheremule nella città metropolitana di Sassari,Cheremule – MappaPosizione del comune di Cheremule nella città metropolitana di Sassari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
