Arce comune,Arce comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Arce – Veduta,Arce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Frosinone
Amministrazione,Amministrazione
Sindaco,Luigi Germani (lista civica Insieme per Arce democratica) dal 27-5-2019
Territorio,Territorio
Coordinate,41°35′N 13°35′E
Altitudine,247 m s.l.m.
Superficie,"39,52 km²"
Abitanti,5 370[1] (30-11-2025)
Densità,"135,88 ab./km²"
Frazioni,"Campanile, Campostefano, Sant'Eleuterio, Collealto, Collemezzo, Collenoci, Colleolivo, Colleone, Fontanelle, Frassi, Isoletta, Marzi, Murata, Portone, Puzzaca, Tramonti, Valle"
Comuni confinanti,"Ceprano, Colfelice, Falvaterra, Fontana Liri, Monte San Giovanni Campano, Rocca d'Arce, San Giovanni Incarico, Strangolagalli"
Altre informazioni,Altre informazioni
Cod. postale,03032
Prefisso,0776
Fuso orario,UTC+1
Codice ISTAT,060008
Cod. catastale,A363
Targa,FR
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona D, 1 602 GG[3]"
Nome abitanti,arcesi
Patrono,sant'Eleuterio di Arce
Giorno festivo,29 maggio
Cartografia,Cartografia
Arce,Arce
Arce – MappaPosizione del comune di Arce nella provincia di Frosinone,Arce – MappaPosizione del comune di Arce nella provincia di Frosinone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
