Giustino comune,Giustino comune.1
,
Giustino – Veduta,Giustino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Trento
Amministrazione,Amministrazione
Sindaco,Manuel Cosi (lista civica) dal 4-5-2025
Territorio,Territorio
Coordinate,46°08′59.86″N 10°46′04.84″E
Altitudine,780 m s.l.m.
Superficie,"39,39 km²"
Abitanti,754[1] (30-11-2025)
Densità,"19,14 ab./km²"
Frazioni,Vadaione
Comuni confinanti,"Comano Terme, Caderzone Terme, Carisolo, Massimeno, Pinzolo, Spiazzo, Stenico, Strembo, Vermiglio"
Altre informazioni,Altre informazioni
Cod. postale,38086
Prefisso,0465
Fuso orario,UTC+1
Codice ISTAT,022093
Cod. catastale,E065
Targa,TN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 592 GG[3]"
Nome abitanti,"giustini, buiac'"
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Giustino,Giustino
Giustino – MappaPosizione del comune di Giustino nella provincia autonoma di Trento,Giustino – MappaPosizione del comune di Giustino nella provincia autonoma di Trento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
