Viterbo comune,Viterbo comune.1
(dettagli),(dettagli)
Viterbo – VedutaVeduta di Viterbo,Viterbo – VedutaVeduta di Viterbo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Chiara Frontini (Ind. di cdx) dal 27-6-2022
Territorio,Territorio
Coordinate,42°25′07″N 12°06′15″E
Altitudine,326 m s.l.m.
Superficie,"406,23 km²"
Abitanti,66 748[1] (30-11-2025)
Densità,"164,31 ab./km²"
Frazioni,"Bagnaia, Castel d'Asso, Fastello, Grotte Santo Stefano, La Quercia, Montecalvello, Monterazzano, Roccalvecce, Sant'Angelo di Roccalvecce, San Martino al Cimino, Tobia, Vallebona, Ponte di Cetti"
Comuni confinanti,"Bagnoregio, Bomarzo, Canepina, Caprarola, Celleno, Civitella d'Agliano, Graffignano, Marta, Monte Romano, Montefiascone, Ronciglione, Soriano nel Cimino, Tuscania, Vetralla, Vitorchiano"
Altre informazioni,Altre informazioni
Cod. postale,01100
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056059
Cod. catastale,M082
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 989 GG[3]"
Nome abitanti,viterbesi
Patrono,santa Rosa da Viterbo
Giorno festivo,4 settembre
Cartografia,Cartografia
Viterbo,Viterbo
Viterbo – MappaPosizione del comune di Viterbo nell'omonima provincia,Viterbo – MappaPosizione del comune di Viterbo nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
