Soriano nel Cimino comune,Soriano nel Cimino comune.1
,
Soriano nel Cimino – VedutaPanorama col Castello Orsini.,Soriano nel Cimino – VedutaPanorama col Castello Orsini.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Roberto Camilli (lista civica di centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,42°25′10″N 12°14′03″E
Altitudine,478 m s.l.m.
Superficie,"78,54[1] km²"
Abitanti,7 896[2] (30-11-2025)
Densità,"100,53 ab./km²"
Frazioni,"Chia, Sant'Eutizio"
Comuni confinanti,"Bassano in Teverina, Bomarzo, Canepina, Vallerano, Vasanello, Vignanello, Viterbo, Vitorchiano"
Altre informazioni,Altre informazioni
Cod. postale,01038
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056048
Cod. catastale,I855
Targa,VT
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona E, 2 272 GG[4]"
Nome abitanti,sorianesi
Patrono,san Nicola e sant'Eutizio
Giorno festivo,"6 dicembre, 15 maggio"
Cartografia,Cartografia
Soriano nel Cimino,Soriano nel Cimino
Soriano nel Cimino – MappaPosizione del comune di Soriano nel Cimino nella provincia di Viterbo,Soriano nel Cimino – MappaPosizione del comune di Soriano nel Cimino nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
