Scilla comune,Scilla comune.1
,
Scilla – VedutaPanorama di Scilla (RC),Scilla – VedutaPanorama di Scilla (RC)
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Gaetano Ciccone (Lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,38°15′02.41″N 15°43′08.36″E
Altitudine,72 m s.l.m.
Superficie,"44,13 km²"
Abitanti,4 413[1] (30-11-2025)
Densità,100 ab./km²
Frazioni,"Favazzina, Melia, Solano Superiore."
Comuni confinanti,"Bagnara Calabra, Fiumara, Roccaforte del Greco, San Roberto, Sant'Eufemia d'Aspromonte, Santo Stefano in Aspromonte, Sinopoli, Villa San Giovanni"
Altre informazioni,Altre informazioni
Cod. postale,CAP 89058
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080085
Cod. catastale,I537
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,scillesi (in dialetto reggino scigghitani)
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Scilla,Scilla
Scilla – MappaPosizione del comune di Scilla all'interno della città metropolitana di Reggio Calabria,Scilla – MappaPosizione del comune di Scilla all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
