Camini comune,Camini comune.1
,
Camini – Veduta,Camini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giuseppe Alfarano (lista civica) dal 6-6-2016 (2º mandato dal 5-10-2021)
Data di istituzione,19-12-1807
Territorio,Territorio
Coordinate,38°26′N 16°29′E
Altitudine,300 m s.l.m.
Superficie,"17,41 km²"
Abitanti,788[1] (30-11-2025)
Densità,"45,26 ab./km²"
Frazioni,"Catenacci, Ellera, San Leonte, Torre Ellera, Travatura"
Comuni confinanti,"Riace, Stignano, Stilo"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080017
Cod. catastale,B481
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 091 GG[3]"
Nome abitanti,caminesi
Patrono,san Nicola
Giorno festivo,6 dicembre - 1ª domenica di maggio - 1ª domenica di agosto
Cartografia,Cartografia
Camini,Camini
Camini – MappaPosizione del comune di Camini all'interno della città metropolitana di Reggio Calabria,Camini – MappaPosizione del comune di Camini all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
