Brancaleone comune,Brancaleone comune.1
,
Brancaleone – VedutaCattedrale di Maria Santissima Annunziata,Brancaleone – VedutaCattedrale di Maria Santissima Annunziata
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Silvestro Garoffolo (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,37°57′50″N 16°06′04″E
Altitudine,12 m s.l.m.
Superficie,"36,14 km²"
Abitanti,3 121[1] (30-11-2025)
Densità,"86,36 ab./km²"
Frazioni,"Capo Spartivento, Fiumarella, Paese Nuovo, Pressocito, Razzà, Il Campo, Masafuni, Brancaleone Superiore, Pantano, Galati, Cardara, Rione Zelante, Raso"
Comuni confinanti,"Bruzzano Zeffirio, Palizzi, Staiti"
Altre informazioni,Altre informazioni
Cod. postale,89036
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080014
Cod. catastale,B118
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,brancaleonesi
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Brancaleone,Brancaleone
Brancaleone – MappaPosizione del comune di Brancaleone all'interno della città metropolitana di Reggio Calabria,Brancaleone – MappaPosizione del comune di Brancaleone all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
