Portogruaro comune,Portogruaro comune.1
(dettagli),(dettagli)
Portogruaro – VedutaIl porto fluviale e l'oratorio della Madonna della Pescheria,Portogruaro – VedutaIl porto fluviale e l'oratorio della Madonna della Pescheria
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Città metropolitana,Venezia
Amministrazione,Amministrazione
Sindaco,Luigi Toffolo (centro-destra) dal 24-6-2024
Territorio,Territorio
Coordinate,45°46′32.32″N 12°50′15.06″E
Altitudine,5 m s.l.m.
Superficie,"102,31 km²"
Abitanti,24 411[1] (31-10-2024)
Densità,"238,6 ab./km²"
Frazioni,"Giussago, Lison, Lugugnana, Portovecchio, Pradipozzo, Summaga, Mazzolada"
Comuni confinanti,"Annone Veneto, Caorle, Cinto Caomaggiore, Concordia Sagittaria, Fossalta di Portogruaro, Gruaro, Pramaggiore, San Michele al Tagliamento, San Stino di Livenza, Teglio Veneto"
Altre informazioni,Altre informazioni
Cod. postale,30026
Prefisso,0421
Fuso orario,UTC+1
Codice ISTAT,027029
Cod. catastale,G914
Targa,VE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 649 GG[3]"
Nome abitanti,portogruaresi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Portogruaro,Portogruaro
Portogruaro – MappaPosizione del comune di Portogruaro nella città metropolitana di Venezia,Portogruaro – MappaPosizione del comune di Portogruaro nella città metropolitana di Venezia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
