Gais comune,Gais comune.1
"(IT, DE) Gais","(IT, DE) Gais"
,
Gais – Veduta,Gais – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Alexander Dariz (SVP) dal 4-5-2025
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°49′59.37″N 11°56′50.94″E
Altitudine,841 m s.l.m.
Superficie,"60,62 km²"
Abitanti,3 285[1] (30-11-2025)
Densità,"54,19 ab./km²"
Frazioni,"Lana di Gais/Lanebach, Montassilone/Tesselberg, Riomolino/Mühlbach, Villa Ottone/Uttenheim"
Comuni confinanti,"Brunico, Campo Tures, Falzes, Perca, Selva dei Molini"
Altre informazioni,Altre informazioni
Cod. postale,39030
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021034
Cod. catastale,D860
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 844 GG[3]"
Nome abitanti,(IT) di Gais (DE) Gaiser[4] o Gaisinger
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Gais,Gais
Gais – MappaPosizione del comune di Gais nella provincia autonoma di Bolzano,Gais – MappaPosizione del comune di Gais nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
