Rasun-Anterselva comune,Rasun-Anterselva comune.1
(IT) Rasun-Anterselva (DE) Rasen-Antholz,(IT) Rasun-Anterselva (DE) Rasen-Antholz
,
Rasun-Anterselva – VedutaVista di Rasun di Sotto e della Valle di Anterselva,Rasun-Anterselva – VedutaVista di Rasun di Sotto e della Valle di Anterselva
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Thomas Schuster (SVP) dal 4-5-2025 (4º mandato)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°46′54.82″N 12°02′56.02″E
Altitudine,1 030 m s.l.m.
Superficie,"121,57 km²"
Abitanti,2 936[1] (30-11-2025)
Densità,"24,15 ab./km²"
Frazioni,"Nove Case/Neunhäusern, Rasun di Sotto/Niederrasen (sede comunale), Rasun di Sopra/Oberrasen, Anterselva di Sotto/Antholz-Niedertal, Anterselva di Mezzo/Antholz-Mittertal, Anterselva di Sopra/Antholz-Obertal[2]"
Comuni confinanti,"Brunico, Campo Tures, Monguelfo-Tesido, Perca, Sankt Jakob in Defereggen (AT-7), Valdaora, Valle di Casies"
Altre informazioni,Altre informazioni
Cod. postale,39030
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021071
Cod. catastale,H189
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 285 GG[4]"
Nome abitanti,"(IT) rasunesi, anterselvani (DE) Rasenantholzer[5]"
Cartografia,Cartografia
Rasun-Anterselva,Rasun-Anterselva
Rasun-Anterselva – MappaPosizione del comune di Rasun-Anterselva nella provincia autonoma di Bolzano,Rasun-Anterselva – MappaPosizione del comune di Rasun-Anterselva nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
