Fiè allo Sciliar comune,Fiè allo Sciliar comune.1
(IT) Fiè allo Sciliar (DE) Völs am Schlern,(IT) Fiè allo Sciliar (DE) Völs am Schlern
,
Fiè allo Sciliar – Veduta,Fiè allo Sciliar – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Othmar Stampfer (SVP) dal 4-5-2014 (3º mandato dal 4-5-2025)
Lingue ufficiali,"italiano, tedesco"
Territorio,Territorio
Coordinate,46°31′03.97″N 11°30′09.99″E
Altitudine,880 m s.l.m.
Superficie,"43,96 km²"
Abitanti,3 743[1] (30-11-2025)
Densità,"85,15 ab./km²"
Frazioni,"Aica di Sopra, Aica di Sotto, Fiè di Sopra, Fiè di Sotto, Novale di Fiè, Novale di Presule, Passo, Peterbühel, Prato all'Isarco, Presule, San Costantino, Santa Caterina, Sant'Antonio, Umes[2]"
Comuni confinanti,"Castelrotto, Cornedo all'Isarco, Renon, Tires"
Altre informazioni,Altre informazioni
Cod. postale,39050
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021031
Cod. catastale,D571
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 828 GG[4]"
Nome abitanti,(IT) fieesi (DE) Völser[5]
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Fiè allo Sciliar,Fiè allo Sciliar
Fiè allo Sciliar – MappaPosizione del comune di Fiè allo Sciliar nella provincia autonoma di Bolzano,Fiè allo Sciliar – MappaPosizione del comune di Fiè allo Sciliar nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
