Tires comune,Tires comune.1
(IT) Tires (DE) Tiers,(IT) Tires (DE) Tiers
,
Tires – Vedutaveduta di Tires e del Catinaccio,Tires – Vedutaveduta di Tires e del Catinaccio
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Armin Villgrattner (SVP) dal 4-5-2025
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°28′07″N 11°31′31.62″E
Altitudine,1 028 m s.l.m.
Superficie,"42,18 km²"
Abitanti,1 035[1] (30-11-2025)
Densità,"24,54 ab./km²"
Frazioni,"Gemeier, Kantun, Lavina Bianca/Weißlahnbad, San Cipriano/St. Zyprian, Bria/Breien, Villa di Mezzo/Mittelstrich"
Comuni confinanti,"Campitello di Fassa (TN), Castelrotto, Cornedo all'Isarco, Fiè allo Sciliar, Mazzin (TN), Nova Levante, San Giovanni di Fassa (TN)"
Altre informazioni,Altre informazioni
Cod. postale,39050
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021100
Cod. catastale,L176
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 050 GG[3]"
Nome abitanti,(IT) tiresani (DE) Tierser
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Tires,Tires
Tires – MappaPosizione del comune di Tires nella provincia autonoma di Bolzano,Tires – MappaPosizione del comune di Tires nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
