Malles Venosta comune,Malles Venosta comune.1
(IT) Malles Venosta (DE) Mals,(IT) Malles Venosta (DE) Mals
,
Malles Venosta – VedutaVista di Malles Venosta,Malles Venosta – VedutaVista di Malles Venosta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Josef Thurner (SVP) dal 22-9-2020
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°41′15.23″N 10°32′44.39″E
Altitudine,1 051 m s.l.m.
Superficie,"247,43 km²"
Abitanti,5 239[1] (30-11-2025)
Densità,"21,17 ab./km²"
Frazioni,"Alsago (Alsack), Burgusio (Burgeis), Clusio (Schleis), Laudes (Laatsch), Mazia (Matsch), Piavenna (Plawenn), Planol (Planeil), Slingia (Schlinig), Tarces (Tartsch), Ultimo (Ulten)"
Comuni confinanti,"Curon Venosta, Glorenza, Lasa, Scuol (CH-GR), Senales, Silandro, Sluderno, Sölden (AT-T), Tubre"
Altre informazioni,Altre informazioni
Lingue,"italiano, tedesco"
Cod. postale,39024
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021046
Cod. catastale,E862
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 131 GG[3]"
Nome abitanti,(IT) mallesi (DE) Malser[4]
Patrono,SS Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Malles Venosta,Malles Venosta
Malles Venosta – MappaPosizione del comune di Malles Venosta nella provincia autonoma di Bolzano,Malles Venosta – MappaPosizione del comune di Malles Venosta nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
