Terento comune,Terento comune.1
(IT) Terento (DE) Terenten,(IT) Terento (DE) Terenten
,
Terento – Veduta,Terento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Reinhold Weger (SVP) dal 10-5-2015 (2º mandato dal 22-9-2020)
Lingue ufficiali,"Italiano, tedesco"
Territorio,Territorio
Coordinate,46°49′43.68″N 11°46′33.66″E
Altitudine,1 210 m s.l.m.
Superficie,"42,16 km²"
Abitanti,1 837[1] (30-11-2025)
Densità,"43,57 ab./km²"
Frazioni,"Colli in Pusteria/Pichlern, Marga/Margen, Pino/Pein"
Comuni confinanti,"Chienes, Selva dei Molini, Vandoies"
Altre informazioni,Altre informazioni
Cod. postale,39030
Prefisso,0472
Fuso orario,UTC+1
Codice ISTAT,021096
Cod. catastale,L106
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 413 GG[3]"
Nome abitanti,(IT) terentini (DE) Terenter[4]
Cartografia,Cartografia
Terento,Terento
Terento – MappaPosizione del comune di Terento nella provincia autonoma di Bolzano,Terento – MappaPosizione del comune di Terento nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
