Ora comune,Ora comune.1
(IT) Ora (DE) Auer,(IT) Ora (DE) Auer
,
Ora – Veduta,Ora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Martin Feichter (lista civica Bürgerliste Auer) dal 22-9-2020 (2º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°20′48.73″N 11°17′50.89″E
Altitudine,242 m s.l.m.
Superficie,"11,79 km²"
Abitanti,3 927[1] (30-11-2025)
Densità,"333,08 ab./km²"
Comuni confinanti,"Aldino, Bronzolo, Montagna sulla Strada del Vino, Termeno sulla Strada del Vino, Vadena"
Altre informazioni,Altre informazioni
Cod. postale,39040
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021060
Cod. catastale,G083
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 812 GG[3]"
Nome abitanti,(IT) oranesi (DE) Auerer[4]
Cartografia,Cartografia
Ora,Ora
Ora – MappaPosizione del comune di Ora nella provincia autonoma di Bolzano,Ora – MappaPosizione del comune di Ora nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
