Ultimo comune,Ultimo comune.1
(IT) Ultimo (DE) Ulten,(IT) Ultimo (DE) Ulten
,
Ultimo – VedutaLa chiesa di Santa Gertrude,Ultimo – VedutaLa chiesa di Santa Gertrude
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Stefan Schwarz (SVP) dal 22-9-2020
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°32′54.91″N 11°00′15.15″E
Altitudine,1 190 m s.l.m.
Superficie,"208,12 km²"
Abitanti,2 923[1] (30-11-2025)
Densità,"14,04 ab./km²"
Frazioni,"Pracupola (Kuppelwies), San Nicolò (St. Nikolaus), Santa Gertrude (St. Gertraud), San Maurizio (St. Moritz), Santa Valburga (St. Walburg - sede comunale)"
Comuni confinanti,"Bresimo (TN), Castelbello-Ciardes, Laces, Lauregno, Martello, Naturno, Proves, Rabbi (TN), Rumo (TN), San Pancrazio"
Altre informazioni,Altre informazioni
Cod. postale,39016
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021104
Cod. catastale,L490
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 228 GG[3]"
Nome abitanti,(IT) ultimesi (DE) Ultner[4]
Cartografia,Cartografia
Ultimo,Ultimo
Ultimo – MappaPosizione del comune di Ultimo nella provincia autonoma di Bolzano,Ultimo – MappaPosizione del comune di Ultimo nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
