Vandoies comune,Vandoies comune.1
(IT) Vandoies (DE) Vintl,(IT) Vandoies (DE) Vintl
,
Vandoies – Veduta,Vandoies – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Walter Huber (SVP) dal 22-9-2020 (3º mandato)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°48′54.65″N 11°43′14.82″E
Altitudine,755 m s.l.m.
Superficie,"110,82 km²"
Abitanti,3 383[1] (30-11-2025)
Densità,"30,53 ab./km²"
Frazioni,"Fundres/Pfunders, Vallarga/Weitental, Vandoies di Sopra/Obervintl, Vandoies di Sotto/Niedervintl (sede comunale)[2]"
Comuni confinanti,"Chienes, Rio di Pusteria, Rodengo, Selva dei Molini, Terento, Val di Vizze"
Altre informazioni,Altre informazioni
Cod. postale,39030
Prefisso,0472
Fuso orario,UTC+1
Codice ISTAT,021110
Cod. catastale,L660
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 3 607 GG[4]"
Nome abitanti,(IT) vandoiesi (DE) Vintler
Cartografia,Cartografia
Vandoies,Vandoies
Vandoies – MappaPosizione del comune di Vandoies nella provincia autonoma di Bolzano,Vandoies – MappaPosizione del comune di Vandoies nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
