Senales comune,Senales comune.1
(IT) Senales (DE) Schnals,(IT) Senales (DE) Schnals
,
Senales – Veduta,Senales – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Peter Grüner (SVP) dal 4-5-2025
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°42′16.33″N 10°54′38.22″E
Altitudine,1 317 m s.l.m.
Superficie,"209,84 km²"
Abitanti,1 235[1] (30-11-2025)
Densità,"5,89 ab./km²"
Frazioni,"Certosa/Karthaus (sede comunale), Madonna/Unser Frau, Maso Corto/Kurzras, Monte Santa Caterina/Katharinaberg, Vernago/Vernagt[2]"
Comuni confinanti,"Castelbello-Ciardes, Laces, Malles Venosta, Moso in Passiria, Naturno, Parcines, Silandro, Sölden (AT-7)"
Altre informazioni,Altre informazioni
Cod. postale,39020
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021091
Cod. catastale,I604
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 390 GG[4]"
Nome abitanti,(IT) senalesini (DE) Schnalser
Cartografia,Cartografia
Senales,Senales
Senales – MappaPosizione del comune di Senales nella provincia autonoma di Bolzano,Senales – MappaPosizione del comune di Senales nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
