Martello comune,Martello comune.1
(IT) Martello (DE) Martell,(IT) Martello (DE) Martell
,
Martello – Veduta,Martello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Georg Altstätter (SVP) dal 22-9-2020 (3º mandato)
Lingue ufficiali,"italiano, tedesco"
Territorio,Territorio
Coordinate,46°33′56.14″N 10°46′58.86″E
Altitudine,1 312 m s.l.m.
Superficie,"142,8 km²"
Abitanti,842[1] (30-11-2025)
Densità,"5,9 ab./km²"
Frazioni,"Ganda/Gand, Meiern (sede comunale)[2], Montesole/Sonnenberg, Transacqua/Ennewasser, Val d'Enne/Ennetal, Hintermartell"
Comuni confinanti,"Laces, Lasa, Peio (TN), Rabbi (TN), Silandro, Stelvio, Ultimo, Valfurva (SO)"
Altre informazioni,Altre informazioni
Cod. postale,39020
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021049
Cod. catastale,E981
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 369 GG[4]"
Nome abitanti,(IT) martellesi (DE) Marteller[5]
Patrono,santa Valburga
Giorno festivo,25 febbraio
Cartografia,Cartografia
Martello,Martello
Martello – MappaPosizione del comune di Martello nella provincia autonoma di Bolzano,Martello – MappaPosizione del comune di Martello nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
