Ponte Gardena comune,Ponte Gardena comune.1
(IT) Ponte Gardena (DE) Waidbruck (LLD) Pruca,(IT) Ponte Gardena (DE) Waidbruck (LLD) Pruca
,
Ponte Gardena – Veduta,Ponte Gardena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Philipp Kerschbaumer (Bürgerliste Waidbruck - Lista Civica Ponte Gardena Pruca) dal 22-9-2020
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°35′53.58″N 11°31′57.04″E
Altitudine,471 m s.l.m.
Superficie,"2,33 km²"
Abitanti,272[1] (30-11-2025)
Densità,"116,74 ab./km²"
Comuni confinanti,"Barbiano, Castelrotto, Laion"
Altre informazioni,Altre informazioni
Cod. postale,39040
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021065
Cod. catastale,G830
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 202 GG[3]"
Nome abitanti,(IT) pontegardenesi (DE) Waidbruckner[4]
Cartografia,Cartografia
Ponte Gardena,Ponte Gardena
Ponte Gardena – MappaPosizione del comune di Ponte Gardena nella provincia autonoma di Bolzano,Ponte Gardena – MappaPosizione del comune di Ponte Gardena nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
